u_mag,g_mag,r_mag,i_mag,zed_mag,Spec z
25.1266,24.9911,23.7654,23.4813,23.2421,0.4684
25.3729,25.3583,24.7952,24.1722,23.6794,0.9999
25.379,25.2018,23.8772,23.6787,23.4133,0.2979
25.7725,25.3209,24.6144,24.4678,24.2519,2.3034
25.4005,25.5858,24.9045,24.2629,23.7985,0.8423
25.9191,25.9144,25.3484,24.6257,24.2611,0.7616
25.8729,25.3018,23.8866,23.1073,22.638,0.611
24.5445,24.3946,23.3356,23.2314,22.8526,0.32
25.1353,25.0233,23.8551,23.5599,23.2681,0.4367
24.4533,24.6216,23.9558,23.6195,23.7305,0.6601
24.3725,24.3249,23.7886,23.1324,22.742,0.9487
25.1025,25.0069,23.8071,23.5736,23.2996,0.4326
25.1295,25.0353,24.5974,24.1588,23.6832,1.6757
24.2615,24.4063,23.8467,23.5974,22.9816,1.2436
24.8092,24.8017,24.174,23.8386,23.0787,1.3185
24.5511,24.5748,24.2649,24.0533,23.7226,1.6365
24.8825,24.7879,23.757,22.9591,22.2603,1.0078
25.6338,25.4006,24.854,24.4593,24.0543,1.9542
24.6702,24.593,23.6833,23.1635,22.977,0.6616
26.2496,26.8918,25.6775,25.0473,24.3319,1.3473
25.5334,25.6025,25.1266,24.7706,24.5642,1.6903
26.1533,26.012,25.9264,25.7805,25.7546,1.7594
25.4913,25.8684,25.0957,24.4324,24.4706,0.7259
23.9277,24.014,23.2147,22.5936,22.2003,0.8273
25.0344,24.7602,24.0857,23.6021,23.1416,1.4864
25.9416,25.6433,24.8535,24.3555,24.12,0.619
24.9602,25.0478,24.5653,24.1674,23.8144,0.7898
24.7127,24.7928,24.1424,23.5402,23.0667,0.9408
24.4666,24.6665,23.9251,23.5712,23.1553,0.7585
24.77,24.6581,24.2095,24.1838,23.9387,2.109
24.341,24.5178,24.1355,23.6117,23.2202,0.9948
24.9491,24.7709,24.2477,24.0833,23.7779,1.486
24.829,24.9886,24.1587,23.7622,23.6539,0.6551
24.9178,25.0715,24.6614,24.3528,23.511,1.2557
26.8696,26.0107,24.446,24.208,24.1478,3.4675
24.9349,24.7096,24.2192,24.0985,23.9775,2.3546
27.1697,26.8372,25.6821,24.7215,23.6762,1.2328
26.0568,25.3547,24.7732,24.6504,24.6493,2.0025
26.7129,25.8767,25.2324,24.8529,24.4115,2.1158
