u_mag,g_mag,r_mag,i_mag,zed_mag,Spec z
24.446,24.6197,23.8277,23.3183,22.5872,1.1465
25.7203,25.8614,25.7429,25.4758,25.7342,1.6781
25.8145,25.7495,25.1641,24.7005,24.1493,1.6818
24.5196,24.4391,23.2594,22.8638,22.6975,0.5475
25.5534,25.6031,25.2911,25.0924,24.5337,1.1462
24.1375,24.1321,23.7707,23.6688,23.3961,1.6406
26.313,26.0111,25.2821,25.2752,24.6728,2.3457
24.8464,24.846,24.5164,24.2147,23.8721,0.92
26.6165,26.5378,25.7823,25.3096,25.3902,1.8391
25.0418,25.1126,24.7856,24.622,24.3007,1.4239
25.5178,25.4056,24.6041,23.9417,23.2505,1.5886
24.0859,24.0291,22.7091,22.4906,22.1835,0.4244
26.698,25.6511,24.6289,24.5202,24.4489,2.8691
23.9912,24.1473,23.665,23.0415,22.6622,0.9559
27.0062,26.3831,25.7087,25.5152,25.4655,2.1343
26.4215,25.8621,25.1045,24.8696,24.4358,1.8286
25.5962,25.5742,25.6618,25.4575,24.8634,1.5147
24.5003,24.3503,23.0826,22.4461,22.0705,0.6474
23.8843,23.7908,22.6586,22.4335,22.0773,0.3123
24.4603,24.2785,23.5354,23.3907,23.305,0.2167
24.7566,24.8093,24.5276,24.3079,24.1224,1.5537
24.1576,24.2319,23.7928,23.5789,22.9517,1.2397
25.852,25.9897,24.9947,24.7189,24.5326,0.5621
26.949,25.3073,24.2498,24.2181,24.1504,3.3236
24.2485,23.9793,22.7224,22.0184,21.6418,0.705
25.9022,26.0312,25.0448,24.4525,23.5104,1.2239
25.4534,25.6417,25.1268,24.7354,24.262,1.4666
25.0821,25.1258,24.7044,24.0163,23.6269,0.9544
24.3562,24.4273,23.6539,22.9364,22.4337,0.9307
24.0665,23.625,21.8039,21.3962,21.0259,0.3116
24.988,25.2241,24.2874,23.6198,22.9101,1.0737
25.5368,25.4836,25.1485,25.1405,24.5698,1.4295
26.2085,26.2118,25.5295,25.419,24.8855,0.8928
24.8136,24.9404,24.1634,23.5022,23.0665,0.9201
25.3614,25.4753,24.7349,24.2523,24.0255,0.7526
27.0123,26.5085,25.6991,25.4173,24.8496,2.185
25.9617,26.239,25.6865,25.4565,24.7019,1.1872
25.6752,25.2898,24.8128,24.7678,24.7606,2.3323
26.2627,25.9271,24.7633,24.4535,24.129,0.4783
24.152,24.1515,23.199,22.6791,22.4495,0.6641
25.9077,25.9414,24.6922,23.9879,23.1706,1.1145
27.088,26.5047,24.7606,23.8613,22.8899,0.9957
24.9779,24.6341,24.095,23.9557,23.731,2.2932
25.2851,25.0165,23.5602,23.2514,22.9566,0.3317
24.2936,24.3463,23.8092,23.5139,22.8089,1.2461
24.1453,24.0029,22.7533,22.5313,22.257,0.3064
24.5214,24.6059,24.2113,24.0131,23.3827,1.1356
25.0766,25.146,24.6093,24.1117,23.4243,1.7024
26.014,25.6156,25.2753,24.7442,24.5083,1.9815
25.1712,25.2059,24.8016,24.2686,23.8505,1.0318
26.1462,26.29,25.513,24.9753,25.0501,0.6282
25.5543,25.5697,25.4357,24.8469,24.6118,0.9978
26.1545,25.9422,25.3796,25.1928,25.04,2.5489
25.1901,25.1386,23.9336,23.7055,23.4208,0.342
25.6583,25.5265,24.9504,24.242,23.907,0.7456
24.1435,24.2826,23.7627,23.1452,22.7503,0.9111
25.0718,25.1241,24.5175,24.0842,23.5665,1.1323
27.1631,27.2522,25.4546,25.3861,25.6383,3.2068
25.5637,25.4345,25.0929,25.0266,24.7559,1.2529
23.83,23.466,22.6021,22.4375,22.2814,0.2132
25.5318,25.5389,24.6704,24.2327,23.6447,1.0644
24.5012,24.5714,24.1291,23.5055,23.0997,0.8829
27.3292,26.8371,26.2308,26.2385,25.1797,2.1568
25.065,25.0111,24.6719,24.5032,24.2924,1.7294
25.7714,25.3068,24.7197,24.6011,24.4331,2.1869
25.0267,24.6868,23.478,22.7316,22.3407,0.7092
25.2254,25.2646,24.2545,23.6124,22.7231,1.1835
24.9691,24.545,23.8663,23.7449,23.5056,2.4385
25.0989,25.1869,24.8307,24.5411,23.7955,1.2204
26.0626,25.6983,24.367,23.3696,22.8781,0.8236
23.7231,23.5934,22.5976,22.4784,22.2683,0.2785
24.5906,24.6776,24.3716,24.0019,23.5295,1.1283
24.4385,24.5304,23.8949,23.4506,22.9636,1.1349
24.5655,24.5605,23.3983,23.2465,22.9857,0.3069
25.1349,25.1455,24.7315,24.3409,23.8936,1.5635
26.1893,26.0113,24.6411,24.45,24.1235,0.3727
25.7135,25.4237,25.0359,24.695,24.2014,1.1925
25.05,24.995,24.1079,23.6731,23.5125,0.575
26.0676,25.9849,25.2627,24.7024,24.1741,0.9387
26.0251,25.4586,24.8323,24.7569,24.3874,2.344
25.4609,24.9661,23.4653,23.0269,22.6297,0.4284
25.5286,25.8518,25.389,25.0839,25.0453,0.6665
24.8775,24.9942,24.6477,24.4422,24.0574,1.1212
26.2096,26.0294,25.1311,24.5706,24.0952,1.4944
25.1264,25.0994,24.0638,23.8028,23.6067,0.4262
25.8284,25.3081,24.3528,24.1144,23.7712,0.1641
24.8936,24.5747,23.1295,22.4157,21.9819,0.6623
24.4967,24.3054,23.8922,23.501,23.1248,1.9552
24.2625,24.3563,23.9066,23.6385,22.9883,1.2493
26.2239,26.8015,26.4413,25.9397,26.1298,0.9502
24.7226,24.7202,23.8555,23.4657,23.3703,0.6332
24.9784,24.7157,23.5798,23.2126,22.9919,0.2592
25.2623,25.2812,25.0093,24.7674,24.2447,1.1124
25.6381,25.6175,24.7751,24.1304,23.6285,0.8725
24.5603,24.607,23.9699,23.3793,22.4663,1.2159
25.194,25.0434,23.7123,22.7172,21.9779,0.8893
25.4356,25.3358,24.8194,24.5462,24.1931,1.8128
26.7624,26.8923,25.7218,25.0847,24.5806,1.6624
25.3526,25.4376,24.7464,24.9309,24.8115,0.3394
25.3532,25.285,24.7591,24.1169,23.5334,1.6758
25.1464,25.2625,24.8953,24.2527,23.962,0.7759
25.563,25.7169,24.8693,24.3375,24.2659,0.6643
25.7354,25.6606,25.3811,25.4204,25.0544,1.7925
25.982,26.3925,26.1284,26.6555,25.6049,1.5741
25.0375,24.7879,24.2365,23.9498,23.6286,1.9453
24.8253,24.8898,24.5711,24.5308,23.8271,1.3544
25.7298,25.7469,25.2763,25.0519,24.7279,1.2361
24.8272,25.0659,24.8633,24.2741,23.9644,0.9331
26.903,26.5954,25.1382,25.0294,24.4701,2.3394
25.6299,25.7316,25.4292,24.9179,24.6447,0.9154
26.998,27.8866,26.4445,25.3942,24.5958,1.6099
25.5453,25.4086,24.3973,23.8249,23.5825,0.6054
25.2489,25.3865,24.5129,23.9995,24.0209,0.6595
26.9875,26.5312,25.6536,25.4689,24.9233,2.433
24.4525,24.2178,23.3346,23.2145,23.035,0.1929
25.5852,25.0031,24.0785,23.8549,23.7231,0.2055
26.5885,26.7166,26.4367,25.6633,25.3243,1.1388
26.543,26.2748,25.7652,24.875,23.9823,1.4843
25.2437,25.2316,23.9291,23.504,23.299,0.5205
24.7428,24.8615,24.6174,24.4367,23.9024,1.2407
26.0985,25.6652,25.1428,25.0323,24.971,2.4367
25.7516,25.8215,25.3589,24.4458,24.2102,0.8306
24.4898,24.6615,24.2884,23.9022,23.6082,1.1289
24.2072,24.3135,24.0542,24.0132,23.9193,1.959
27.0233,26.6323,25.4966,25.4344,24.8821,2.4692
24.0691,24.0944,23.2346,22.4417,21.9054,0.9301
25.9165,26.2686,26.0258,25.2591,24.8435,0.9159
25.2593,25.427,24.701,24.2424,23.8338,0.8353
26.0799,26.0427,25.2151,24.6592,23.912,1.143
24.6976,24.8175,24.2355,23.616,23.3311,0.816
25.7559,25.4046,25.0109,24.7886,24.6644,2.0669
26.9599,26.9683,24.0073,22.8198,21.7979,0.9504
24.8939,24.9232,23.6832,23.5059,23.2514,0.4136
25.4871,25.6178,24.9504,24.4289,24.1782,0.8132
25.0498,25.0097,24.1511,23.5556,23.1501,0.7664
26.8672,26.0454,25.6551,25.2158,24.8442,2.3167
24.377,24.0546,23.5953,23.5476,23.3643,2.3292
25.9658,26.0925,25.4814,24.8875,24.1444,1.1477
24.5976,24.5127,24.0528,23.7052,23.4869,1.7499
24.107,24.0408,22.8985,22.6008,22.2712,0.4666
24.7304,24.4825,23.0821,22.6376,22.2394,0.4849
24.2916,24.4006,23.4813,23.2418,23.0334,0.4896
24.9922,25.0792,24.5243,24.1525,23.6404,1.1638
25.5469,26.0339,25.5011,25.3087,24.9877,1.5469
25.2916,25.3142,24.949,24.7083,24.4741,1.5767
25.6972,25.6262,24.5182,24.4246,24.0848,0.3521
26.7176,26.4458,25.5529,25.0646,25.31,0.2214
25.8223,25.5477,24.747,24.1117,23.7813,0.7588
24.0805,24.1358,23.272,22.6297,22.4575,0.7105
24.502,24.5028,23.2019,22.9616,22.6701,0.3384
25.8622,26.0018,25.3027,24.896,24.1415,1.3792
25.6129,25.6166,24.4527,24.3274,24.075,0.411
24.2821,24.3337,24.0368,23.8939,23.3462,1.2436
25.7525,26.0267,25.4229,24.9826,24.5143,1.5024
25.1092,25.2407,24.8295,24.369,23.9472,0.9521
27.4589,26.9811,25.6815,25.1527,24.4472,2.0197
25.7101,25.7043,25.5545,24.6007,24.3485,0.8734
24.4491,24.4302,24.094,23.9295,23.6867,1.7362
24.7672,24.9393,24.4091,24.1276,23.3197,1.2784
24.2645,24.0494,22.9221,22.2384,21.2484,1.1239
23.6435,23.591,22.3877,22.1404,21.8765,0.4312
25.4043,25.2552,24.2631,24.126,23.9207,0.3009
25.4893,25.0764,23.5754,22.9337,22.5423,0.5739
24.9605,25.0621,24.2423,23.7267,23.5545,0.6128
26.0317,26.0764,25.1246,24.5736,23.7109,1.155
24.9377,24.9397,24.5688,24.4501,24.194,1.6403
24.7739,24.8869,24.141,23.7462,23.7788,0.649
27.0978,26.1912,23.8549,22.6891,21.8995,0.8398
26.8346,26.2188,25.1147,25.4019,25.1756,2.4366
24.985,24.9448,24.1105,23.4251,22.9968,0.8
26.9688,26.7925,25.1318,24.5822,24.3799,0.4613
24.8845,24.9616,24.3718,23.7746,23.3594,0.8527
24.3947,24.6745,23.9532,23.4245,22.7631,1.1409
24.4964,24.6184,23.6269,23.3771,23.1745,0.5073
25.6867,25.5636,24.6766,24.1385,23.914,0.6388
24.9863,24.7738,24.2457,24.1522,24.0126,2.186
25.2507,25.462,24.8052,24.9325,24.8072,1.9281
26.1082,26.2442,25.47,25.0726,24.4117,1.5517
24.6761,24.7088,23.7264,23.3138,23.1249,0.6309
26.1022,25.9561,25.5675,25.0722,24.4137,1.5416
24.7522,24.8201,23.5687,23.4588,23.2491,0.3795
27.1268,26.6249,25.708,24.7296,23.8033,1.5262
24.2956,24.2805,23.4442,22.7383,22.3233,0.8338
24.8502,25.0312,24.5353,24.1046,23.8064,0.7665
24.7234,24.7476,23.6058,23.3814,23.1507,0.4231
25.5753,25.4903,24.0647,23.6706,23.3584,0.4277
26.1007,25.6975,24.9668,24.7462,24.7081,0.1163
24.7192,24.8349,24.5025,24.448,24.1959,1.6046
24.5827,24.4272,23.0778,22.7503,22.3799,0.4217
24.7835,24.8116,24.5383,24.2943,23.7585,1.3591
25.5757,25.5638,25.0964,24.5761,24.3867,0.8168
25.5918,25.5329,24.2978,23.6271,22.66,1.0735
24.8704,25.0331,24.7862,24.4389,23.964,1.1028
25.0169,25.0612,24.3128,23.8866,23.1054,1.273
25.368,25.3433,24.8669,24.6625,24.0083,1.403
25.062,25.1826,24.7571,24.8528,24.1825,1.3044
25.7776,25.5896,24.8428,24.0708,24.0098,0.7497
25.2243,25.4208,24.2788,23.4613,22.7644,1.0354
23.9056,23.5661,22.6998,22.5277,22.3272,0.1873
24.7267,24.7819,24.2456,23.6914,23.3042,0.9654
24.9095,24.7749,24.3259,24.107,23.8177,1.7243
25.0913,24.9539,23.8751,23.3687,23.0906,0.5673
25.4318,25.4451,24.4681,24.288,24.1407,0.4386
24.146,23.8972,23.4254,23.3242,23.1563,2.2504
25.5423,25.4276,24.4477,24.0458,23.3502,1.1951
23.9169,23.7333,22.443,22.188,21.9169,0.2921
25.3685,25.0733,24.6979,24.3783,24.0197,1.9618
26.3016,25.5789,24.929,24.3256,23.6897,1.4503
26.8903,26.2916,25.402,25.1752,24.8499,2.6898
27.0427,26.6954,25.224,25.16,24.4615,2.2528
25.6921,25.5223,24.4024,24.3121,24.0337,0.2968
24.9915,25.0614,24.1074,23.5018,23.3946,0.6666
25.7351,25.6804,25.4127,25.429,24.9187,1.2755
27.1657,27.1713,26.3985,26.1267,25.6175,2.1806
24.7127,24.8222,24.7736,24.717,24.372,1.2608
24.2145,24.0609,23.5993,23.4198,23.2343,1.9575
24.772,24.9588,24.3333,23.8335,23.4909,0.7719
25.9296,25.7784,25.3687,25.1141,24.935,1.9738
25.429,25.6147,25.1386,24.8351,24.4383,1.2286
25.8211,25.8019,25.4049,25.0403,24.4543,1.141
24.5147,24.455,24.0526,23.8194,23.4757,1.5526
25.0168,24.749,24.2933,24.0184,23.7055,1.9526
24.7826,24.7594,23.6964,23.4033,23.2047,0.4981
24.3197,24.4756,23.9162,23.5353,23.2364,0.761
25.4397,25.4453,24.8332,24.4074,23.8218,1.2454
26.0632,25.7719,24.0117,23.0842,22.4959,0.6754
25.0133,25.0802,24.81,24.783,24.1586,1.3161
24.7665,24.7864,24.057,23.5552,23.4673,0.6917
25.0231,24.9956,23.882,23.6527,23.4481,0.4229
24.6745,24.6326,23.3779,23.1994,22.8667,0.3418
24.2772,24.2998,23.3305,23.0289,22.8977,0.5825
25.9642,26.2317,26.0901,25.4106,24.9841,0.8956
26.461,25.934,24.9868,24.9829,24.6192,0.0792
25.6558,25.7062,25.6636,25.024,24.6878,1.0531
25.0407,25.0741,23.9744,23.8279,23.6749,0.3698
24.9381,24.9878,24.0702,23.8197,23.7105,0.5484
25.2642,25.4258,25.0537,24.7996,24.2848,1.1
24.7221,24.7218,23.9943,23.2751,22.9491,0.8408
25.7436,25.6516,24.2217,23.192,22.5621,0.8294
25.5883,25.683,24.4056,24.0752,23.8079,0.4182
25.6646,25.6064,24.5518,24.4746,24.2929,0.3569
25.7062,25.6738,24.9976,24.6762,24.2692,0.7163
25.2543,25.5065,24.7067,24.2315,23.9112,0.729
25.3663,25.1423,24.5018,23.9452,23.4894,1.816
26.0175,25.3958,24.7042,24.6152,24.487,2.3172
24.5757,24.6531,24.2958,24.215,23.4917,1.2878
27.1808,26.9025,24.9179,24.6881,24.5304,3.2025
26.2219,26.1678,25.1171,24.8687,24.582,0.4846
25.3988,25.3282,24.7583,24.3378,23.9722,0.7659
25.0698,25.2319,25.0788,24.9764,24.5547,1.2989
24.4521,24.4093,23.4974,23.0072,22.8266,0.6569
25.4673,25.2991,24.127,23.606,23.3938,0.5945
23.9579,23.9701,23.5886,23.3609,23.1127,1.6866
25.1663,24.9451,23.7342,23.5823,23.2992,0.21
23.7702,23.5706,22.1255,21.8358,21.4445,0.3582
25.6898,25.5353,25.0914,24.9563,24.8452,2.0081
24.5948,24.5807,23.3538,22.5913,22.1977,0.7252
25.3338,25.2845,23.95,23.7931,23.5194,0.433
24.8784,24.9528,23.8113,23.7802,23.5121,0.3387
27.134,26.6625,25.8235,25.2448,24.654,2.2404
25.9715,25.9938,25.0058,24.4567,24.2129,0.5944
25.556,25.6146,25.0341,24.6132,24.0609,1.1518
24.7612,24.8577,24.1575,23.576,23.2212,0.7798
24.8582,24.4331,22.8978,22.1232,21.6375,0.6726
26.1239,26.3559,25.5643,25.138,24.9334,0.7092
24.8649,24.8808,24.389,24.0435,23.4933,1.1769
26.2509,25.983,25.2397,24.2812,23.3566,1.3053
25.8112,25.5956,25.1511,25.5359,25.0128,2.4944
26.7872,27.0873,25.3462,23.9716,23.2045,0.98
24.3518,24.4701,23.6936,23.2128,23.0391,0.6746
24.4005,24.4367,23.419,23.0273,22.865,0.5877
24.5013,24.316,23.3307,22.724,22.3987,0.7375
25.1535,25.1393,24.2838,23.9667,23.9753,0.5481
26.0472,26.0434,25.3103,24.7995,24.1216,1.4192
25.1676,25.3999,24.9991,24.2607,23.9847,0.8934
25.8528,26.1761,25.6443,25.4101,24.5416,1.1384
24.7541,24.86,24.195,23.5222,23.142,0.895
25.6636,25.4628,24.2483,23.9468,23.6737,0.375
24.9415,25.0568,24.5969,24.1069,23.6616,1.1179
25.4799,25.0759,24.3107,24.258,24.1319,2.6193
25.647,25.7507,25.2025,24.54,23.9964,0.9723
26.0636,26.1964,25.5497,25.1669,24.737,0.937
24.2076,23.6811,22.5968,22.3472,22.1148,0.1777
24.7842,24.7868,23.5804,23.4489,23.2318,0.3797
24.2538,24.2519,23.0895,22.9212,22.6692,0.3632
25.1115,25.1674,24.7661,24.5053,23.8637,1.1545
23.6536,23.6,22.5716,21.9199,21.5821,0.7244
24.7337,24.9095,24.5853,24.5036,23.8929,1.4245
24.3591,24.4856,23.7018,23.3824,23.281,0.5701
27.1279,26.1081,24.8971,24.3589,24.1722,2.7298
24.3564,24.5143,24.0509,23.4399,23.1711,0.8633
26.0969,26.0324,25.1619,24.3098,23.8672,0.9836
23.7581,23.7501,23.0291,22.5142,22.1419,0.7934
25.3982,25.102,23.8579,22.9659,22.2451,0.9205
25.6545,25.7155,25.5225,25.3564,24.8,1.4597
25.071,25.0813,23.9712,23.3085,23.004,0.7133
26.0967,25.6204,24.0513,23.6273,23.3779,0.4625
24.7296,24.5779,23.5097,22.6861,22.1829,0.8688
26.0122,25.9632,25.2683,24.589,24.2224,0.8706
25.362,25.0431,24.4427,24.3671,24.16,2.2983
25.9916,26.1385,25.3225,24.8906,24.3016,1.0606
25.7471,25.6206,25.4042,25.0562,24.5969,1.0031
23.3512,23.2486,22.0267,21.6367,21.3326,0.5365
25.4866,24.9233,24.2936,24.2367,24.1126,2.6257
25.4127,25.5377,25.384,25.1903,24.7815,1.4149
25.6069,25.6518,25.2251,24.9166,25.1561,0.682
26.3107,26.2329,24.8866,24.6056,24.4115,0.4282
24.953,25.0201,24.2949,23.8552,23.286,1.1749
24.6652,24.6469,23.9504,23.449,22.7487,1.1913
24.8688,24.9484,24.491,24.0094,23.3989,1.0808
24.0353,24.1433,23.7071,23.2931,22.7434,1.046
23.7278,23.8451,23.5259,23.0123,22.6353,0.9293
23.0949,23.0251,21.7721,21.5747,21.2652,0.3441
25.3496,25.274,24.7685,24.4712,24.2857,1.8074
25.0428,25.069,23.8298,23.595,23.2969,0.3551
25.1079,24.7109,24.059,23.9716,23.7576,2.4767
24.7884,24.9156,24.6451,24.6213,24.3899,1.8753
24.843,24.9071,24.3269,23.872,23.5896,0.8643
25.2131,24.9675,23.6759,22.765,22.2226,0.8426
26.0172,25.9917,25.7859,25.028,24.6208,1.0309
24.9732,24.8307,23.6961,22.7752,21.9994,0.9325
24.8256,24.9774,24.4786,24.0563,23.4977,1.0471
25.0295,24.9858,24.2306,23.4791,22.9666,0.8976
26.0261,25.9284,24.7713,24.3961,24.1905,0.4102
25.6775,25.4542,24.5527,24.1911,24.0397,0.2121
24.8611,25.0139,24.1969,23.7137,23.0637,1.1838
26.0824,26.2154,25.8856,25.679,25.5788,1.6938
24.0054,23.9718,22.7814,22.5666,22.2956,0.3957
25.9166,25.666,24.8033,24.0103,23.1884,1.3655
25.1513,25.2842,24.8028,24.41,23.7302,1.1412
24.2094,24.174,23.7285,23.4503,22.9786,1.4882
24.7084,24.7757,24.4213,24.3727,24.3343,2.0916
23.9365,24.0475,23.4797,22.9005,22.5655,0.8345
24.2849,24.1169,22.8208,22.5413,22.216,0.3533
24.561,24.4354,23.3845,22.5113,21.9185,0.851
25.5519,25.2797,24.8533,24.5671,24.1798,1.9646
25.885,25.9486,25.8083,25.5655,25.0338,1.4557
24.469,24.2671,22.8668,22.4182,22.0193,0.5299
25.4059,25.4017,24.126,24.0829,23.8816,0.3802
25.3075,25.4549,24.9494,24.3402,23.9227,0.9439
25.5967,25.3394,23.7924,23.4236,23.1488,0.3272
25.3979,25.6173,25.1991,24.7738,24.397,0.9539
27.0674,26.9851,25.8797,24.7032,23.8486,1.3653
25.4692,25.4812,25.001,24.2724,24.0436,0.8758
24.7279,24.6762,23.6536,23.1741,22.9552,0.6017
25.8707,25.6435,25.2391,24.8723,24.3549,1.3721
25.2972,24.9294,24.1479,24.0609,23.8704,2.6145
25.965,25.8125,24.7145,24.1201,24.1781,0.5465
24.1844,24.3058,23.8647,23.3247,22.9116,0.9836
24.1245,24.1212,23.0536,22.8315,22.6478,0.4559
24.6472,24.6666,24.5937,24.5186,24.2999,1.5839
26.0553,25.8553,25.1616,24.6516,24.4015,0.6526
25.1771,25.3382,25.1935,25.0955,24.3447,1.2406
25.9796,25.8273,25.2776,24.7886,24.3846,1.6385
25.1995,25.0182,24.6175,24.5137,24.6544,2.2799
26.0503,25.8983,25.4648,25.0952,24.8459,1.8323
24.786,24.7232,24.3824,24.1454,23.7724,1.5246
27.2005,25.8628,24.6496,24.501,24.3212,2.9825
23.8192,23.9005,22.7652,22.5134,22.3595,0.4979
24.9938,24.7842,23.3502,23.0279,22.699,0.3844
24.8835,24.997,24.8288,24.3547,24.1881,0.9494
23.547,23.6792,23.3551,22.875,22.5346,0.9021
24.7779,24.8916,24.063,23.2802,22.8067,0.8919
24.3217,24.2998,23.4197,22.8733,22.5417,0.7349
24.0382,23.8978,23.4588,23.1264,22.8758,1.7446
25.7078,25.8238,25.4575,24.9028,24.3302,1.1253
24.8396,24.6871,24.265,24.1454,24.0968,1.8349
24.3388,24.3631,24.054,23.9551,23.7626,1.612
24.4647,24.4229,23.7302,23.4366,22.8016,1.4111
24.7468,24.6909,23.8742,23.1585,22.7947,0.8202
24.8552,24.847,24.3089,24.1117,23.4075,1.2936
25.3848,25.379,25.0386,24.5319,24.2332,0.9257
25.0425,24.9169,23.5354,23.2651,22.9567,0.3504
24.6528,24.6871,24.3392,24.254,23.8005,1.4893
24.7503,24.6813,23.6765,23.3781,23.2715,0.527
24.844,24.8359,23.9846,23.3071,22.8777,0.8157
24.2562,24.1448,22.8474,22.6335,22.2788,0.351
24.0709,24.1728,23.9935,23.9671,23.6985,1.4787
25.3474,25.2717,25.0008,24.8201,24.7753,1.729
25.4264,25.5146,25.2206,25.0265,24.4686,1.2855
26.3975,25.9704,24.0546,23.2281,22.6574,0.6127
25.4838,25.633,25.4475,25.7221,25.0132,1.447
25.2704,25.1422,24.0875,23.2116,22.6404,0.933
25.5674,25.2987,24.7919,24.5468,24.2265,1.8559
25.6411,25.7685,25.6416,25.225,25.1345,1.0312
25.7197,25.8097,24.9457,24.6547,23.8434,1.2336
23.6479,23.8178,23.6572,23.5537,23.2425,1.1922
26.7184,25.95,25.483,25.0241,24.7614,2.6684
25.8123,25.6132,24.4712,23.5663,23.0315,0.821
26.6943,26.0765,23.8497,22.7195,21.5459,1.1755
24.0612,23.9817,22.8198,22.6532,22.372,0.3097
25.6296,25.9303,25.0469,24.7321,24.67,0.6087
24.8564,24.8692,23.9167,23.5326,23.3311,0.5852
24.9653,25.0827,23.9725,23.3646,22.4809,1.1462
26.8559,26.5175,25.5571,24.9298,24.24,1.4107
25.239,25.2574,24.4406,23.9395,22.998,1.2594
23.2542,23.3432,22.6337,22.2521,22.1048,0.6984
24.879,24.7928,23.4346,23.2814,23.045,0.3651
26.4407,25.6277,25.1199,24.5014,24.0299,1.9176
24.1986,23.9489,22.8356,22.6039,22.3806,0.2225
25.542,25.3073,24.9676,24.5613,24.1416,1.701
24.8943,24.9152,24.5341,24.4786,24.3323,1.905
26.9831,25.947,25.1279,24.999,24.85,2.7265
25.385,25.568,24.894,24.6243,24.5174,0.6184
25.6928,25.6929,24.5221,24.1055,24.0274,0.5274
25.5618,25.7307,24.9149,24.3855,24.2109,0.7158
25.7944,25.737,25.2286,24.6846,24.1155,1.1546
24.5308,24.5518,24.2315,24.1344,23.8912,1.8562
26.9104,26.3492,25.0295,24.8074,24.3767,2.5169
25.4018,25.5758,24.6401,24.0613,23.3566,1.1597
24.5956,24.6447,24.4903,24.449,24.1168,1.1656
24.5746,24.5821,24.3294,24.2683,24.1941,1.6856
25.9496,25.8684,25.4414,25.0218,24.1823,1.2696
25.3909,25.1957,24.4079,23.841,23.142,1.4098
27.4626,27.8741,25.6481,25.3235,25.2086,3.6415
25.3001,25.4571,25.3168,24.9471,24.6752,1.0335
25.31,25.2861,24.9744,24.7599,24.3632,1.5138
24.3658,24.5095,24.1207,23.6667,23.1903,0.9658
26.5343,25.8607,24.3781,24.1749,23.997,3.0633
25.1401,25.0481,23.9058,23.637,23.4213,0.4292
24.1289,24.176,23.9248,23.859,23.6418,1.6051
25.6961,25.7445,24.8429,24.7303,24.5819,0.5059
26.0833,25.9121,25.5663,24.8978,24.6698,0.8282
25.0162,24.9634,24.5363,24.3786,23.9772,1.58
24.1482,24.1035,23.0267,22.714,22.4117,0.5065
25.5605,25.3263,24.6201,24.2327,23.4676,1.2914
25.4298,25.334,24.8472,24.8476,24.5605,1.9767
24.359,24.3741,23.6475,23.2337,23.1449,0.6612
25.7786,25.9461,25.4032,25.1726,24.8719,0.7219
25.4771,25.4662,24.652,23.7936,23.3831,0.8684
23.5333,23.4816,22.2098,21.9776,21.7106,0.4206
25.2222,25.4652,24.5658,24.1184,24.1468,0.5612
24.975,24.9554,24.1978,23.51,23.1794,0.7864
26.6654,26.602,25.749,25.2303,24.585,1.463
25.1905,25.0937,24.6261,24.2638,24.0432,1.643
27.3505,26.982,26.2438,25.8407,25.6388,2.2065
25.8495,25.8241,25.1169,24.7203,24.7586,0.6933
24.1417,24.2598,24.0028,23.895,23.4763,1.4224
24.8614,24.8261,24.4999,24.3442,24.1522,1.5235
25.6606,25.6599,24.6901,24.6611,24.3178,0.3598
25.5598,25.6923,25.4141,24.934,24.374,1.2881
25.2918,25.3035,25.0735,24.9713,24.9342,2.0308
24.903,24.8866,23.5664,23.2531,23.0604,0.4581
25.4688,25.4191,24.8636,24.6654,24.6449,1.5949
26.4869,25.9014,24.4214,23.6349,23.1927,0.6614
24.7801,24.939,24.309,23.8217,23.4258,0.76
25.463,25.1681,24.5102,24.468,24.1269,2.0845
24.8625,25.0289,24.4636,24.0919,23.3689,1.1825
24.7702,24.6635,23.3625,23.0826,22.8329,0.4263
26.1575,25.4872,24.6937,24.5087,24.2538,2.3121
24.8583,24.9459,24.0107,23.8057,23.5902,0.4631
26.3099,26.0196,25.3479,24.8463,24.5007,1.1376
25.2401,25.2121,24.7826,24.1916,24.0097,0.8031
27.2839,27.0031,26.6534,25.558,25.0609,1.8928
25.2104,25.2632,24.8003,24.536,24.6027,0.28
25.5292,25.5639,24.6458,24.5325,24.3752,0.4453
26.2713,25.7987,24.8235,24.0713,23.4402,1.4625
25.1587,25.3069,24.9722,24.5298,24.1145,1.1073
24.8043,24.5644,23.3875,22.834,22.6016,0.6508
25.2575,24.878,24.092,23.5043,22.7422,1.4017
24.3819,24.5066,24.1756,24.0629,23.5606,1.391
25.0904,25.0591,24.8813,24.7781,24.6235,2.0756
24.8391,24.9991,24.3032,23.7515,22.9865,1.1467
25.6608,25.8444,25.2146,24.5898,24.3385,0.8406
26.3077,26.2282,25.1048,24.8608,24.5491,0.3917
24.8623,24.915,23.8221,23.5634,23.3473,0.488
26.9115,27.1304,26.0881,25.2615,24.7367,1.7352
25.8118,25.9681,25.3265,24.8607,24.4235,1.1461
25.0662,25.0434,24.227,24.1605,23.9284,0.3105
26.9167,26.2575,25.3817,24.7056,23.6869,1.2481
25.9564,25.9656,24.6206,24.3654,24.1426,0.2905
26.1388,25.826,25.0104,24.9255,24.5015,2.4055
24.3752,24.4946,23.9232,23.5433,23.2637,1.0812
25.4737,25.6557,25.1024,24.7322,24.187,1.1218
27.0735,27.1624,25.6205,24.4667,23.289,1.28
